GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sesion06,ual.hmis,Main,0,28,0,2,0,6,0,3,0,2
sesion06,ual.hmis,Coche,0,101,0,14,0,28,0,19,0,12
sesion06,ual.hmis,App,0,7,0,0,0,3,0,2,0,2
sesion06,ual.hmis,JsonReader,0,29,0,0,0,8,0,2,0,2
